TypeId,TypeDesc,TransDesc1,MCC,MCC_Description,Extra_Retailer_Field,Extra_Retailer_Field_2,logo,retailer_id,
0,Purchase,1000 DEGREES GA,5541,Fuel,1000 Degrees Pizza,,NULL,1,
0,Purchase,1000DEGREESPIZZ,5541,Fuel,1000 Degrees Pizza,,NULL,2,
0,Purchase,10TH INNING,9399,Legal and Government,10th Inning,,NULL,5,
0,Purchase,123LOADBOARD.CO,5818,Subscriptions,123LoadBoard.com,,123loadboard.com ,6,
0,Purchase,12TH AVEN 2701,5499,Grocery and Food Stores,12th Avenue,,NULL,9,
0,Purchase,1-800 CONTACTS*,6540,Other,1800 Contacts,,1800-contacts ,10,
0,Purchase,1-800 CONTACTS*,8043,Healthcare,1800 Contacts,,1800-contacts ,11,
0,Purchase,1-800-FLOWERS.C,6540,Other,1800 Flowers,,1800-flowers ,12,
0,Purchase,1-800-FLOWERS.C,5968,Subscriptions,1800 Flowers,,1800-flowers ,13,
0,Purchase,1-800-FLOWERS.C,5992,Other,1800 Flowers,,1800-flowers ,14,
0,Purchase,1-800-FLOWERS.C,8099,Healthcare,1800 Flowers,,1800-flowers ,15,
0,Purchase,1 800 PETMEDS,5541,Fuel,1800 Pet Meds,,NULL,16,
9,Purchase,ALON 7-EL 4809,5541,Fuel,19 Eleven,,NULL,17,
0,Purchase,TVM DUNLAP /19T,4111,Transportation,19th Avenue Dunlap station,,NULL,18,
0,Purchase,1A AUTO,553,Auto,1A Auto,,NULL,19,
0,Purchase,YPS*1ST CHOICE,4225,Mailing and Shipping,1st Choice Storage,,NULL,20,
0,Purchase,1ST PLACE,5541,Fuel,1st Place Gas,,NULL,21,
0,Purchase,3CI*1TEL.COM CA,4814,Telecommunication Services,1Tel.com,,NULL,23,
0,Purchase,3CI*1TEL.COM TR,4814,Telecommunication Services,1Tel.com,,NULL,24,
0,Purchase,2 LUCKY V 615 M,5993,Other,2 Lucky Vape Store,,NULL,25,
0,Purchase,2 SISTERS CAFE,5812,Food and Drink,2 Sisters Cafe,,NULL,26,
0,Purchase,ALON 7-EL 501 S,5541,Fuel,20 Eleven,,NULL,29,
0,Purchase,210 SPORTS CANT,5812,Food and Drink,210 Sports Cantina Grill,,NULL,30,
0,Purchase,21ST AMENDMENT,5541,Fuel,21st Amendment,,NULL,31,
0,Purchase,21ST CENTURY CI,7832,Entertainment and Recreation,21st Century Cinemas,,NULL,32,
0,Purchase,GPS*21ST CIRCUI,9211,Legal and Government,21st Circuit Court,,NULL,33,
1,Purchase,22ND BANK CLAYT,6011,Financial Services,22nd Bank,,NULL,34,
0,Purchase,24 Hour Fitness,7997,Entertainment and Recreation,24 Hour Fitness,,24-hour-fitness ,35,
0,Purchase,24HOUR FITNESS,7997,Entertainment and Recreation,24 Hour Fitness,,24-hour-fitness ,36,
0,Purchase,FRS24E FITNESS,7997,Entertainment and Recreation,24 Hour Fitness,,24-hour-fitness ,37,
0,Purchase,24E FITNESS HUN,7997,Entertainment and Recreation,24e Health Club,,NULL,39,
0,Purchase,24PAYCOM.NET,7273,Other,24PayCom,,NULL,40,
0,Purchase,GPS*25TH DISTRI,9211,Legal and Government,25th District Court,,NULL,41,
0,Purchase,281 EYE CARE,8043,Healthcare,281 Eye Care,,NULL,42,
0,Purchase,2K EXPRES 1755,5541,Fuel,2K Express,,NULL,43,
0,Purchase,3BUREAU CREDIT,5541,Fuel,3 Credit Bureau,,NULL,44,
